id_rodzaj_pojazdu,liczba-wystapien
SAM.CIĘŻAR.UNIW,1
SAM.CIĘŻAROWO-OSOB.,7055
SAM.CIĘŻAROWO-OSOBOWY,115722
SAM.CIĘŻAROWY,67499
SAM.CIĘŻAROWY SPECJALIZOWANY,7174
SAM.CIĘŻAROWY SPECJALIZOWANY - PLAT.DO PRZEWOZU KONTENERÓW O .2-8 TON,5
SAM.CIĘŻAROWY UNIWERSALNY,17195
SAM.OSOBOWY,2
SAM.SIODLOWY,65
SAM.SPECJALNY - ASENIZACYJNY,5
SAM.SPECJALNY - DO OCZYSZCZANIA DRÓG,5
SAM.SPECJALNY - DO WYWOZU ŚMIECI,6
SAM.SPECJALNY - DTWIG SAMOCHODOWY,1
SAM.SPECJALNY - DWIG SAMOCHODOWY,4
SAM.SPECJALNY - DŹWIG SAMOCHODOWY,29
SAM.SPECJALNY - KOPARKA,2
SAM.SPECJALNY - POARNICZY,2
SAM.SPECJALNY - PODNONIK,1
SAM.SPECJALNY - PODNOŚNIK,2
SAM.SPECJALNY - POŻARNICZY,12
SAMOCHAD CIELAROWY,14
SAMOCHAD OSOBOWY,30
SAMOCHD SPECJALNY,252
SAMOCHED OSOBOWY,293
SAMOCHED SPECJALNY,6
SAMOCHOD OSOBOWY,113675
SAMOCHOD SANITARNY,367
SAMOCHOD SPECJALNY,2962
SAMOCHOD SPECJALNY BETONIARKA,1
SAMOCHOD SPECJALNY INNY,67
SAMOCHODOWY INNY,104499
SAMOCHODY CIALLAROWE - SPE,12
SAMOCHODY CIALLAROWE - UNI,25
SAMOCHODY CIALLAROWO-OSOBO,8
SAMOCHODY CIĘŻAROWE - SPE,1226
SAMOCHODY CIĘŻAROWE - UNI,4275
SAMOCHODY CIĘŻAROWE SPECJALIZOWANE,6711
SAMOCHODY CIĘŻAROWO-OSOBO,1524
SAMOCHODY OSOBOWE,188978
SAMOCHODY SANITARNE,594
SAMOCHODY SPECJALNE,2317
SAMOCHUD CIEIAROWO-OSOBOWY,1024
SAMOCHUD CIEĄAROWO-OSOBOWY,161
SAMOCHÓD CIEZAROWY,5
SAMOCHÓD CIEŻAROWY,1733
SAMOCHÓD CIĘŻAROWO-OSOBOWY,11120
SAMOCHÓD CIĘŻAROWY,3779811
SAMOCHÓD CIĘŻAROWY SPECJALIZOWANY,2906
SAMOCHÓD CIĘŻAROWY SPECJALIZOWANY - ASENIZACYJNY,10
SAMOCHÓD CIĘŻAROWY SPECJALIZOWANY - DO PRZEWOZU BETONÓW,1
SAMOCHÓD CIĘŻAROWY SPECJALIZOWANY - DO WYWOZU ŚMIECI,1
SAMOCHÓD CIĘŻAROWY UNIWERSALNY,9959
SAMOCHÓD CIĘŻAROWY-SPECJALIZOW.,8
SAMOCHÓD CIĘŻAROWY-UNIWERSALNY,17
SAMOCHÓD OSOBOWY,33279528
SAMOCHÓD SANITARNY,7122
SAMOCHÓD SPECJALIZOWANY BETONO-MIESZARKA,1
SAMOCHÓD SPECJALNY,282892
SAMOCHŁD CIAROWO-OSOBOWY,18
SANITARNY,407
SKLEP/BAR OBJAZDOWY,3
SPEC BEZ SANITAR,996
SPECJALNE,1358
SPECJALNY,218
STARE RODZAJE,60
TROLEJBUS,1038
TROLEJBUSY,43
